ubuntu@ubuntu:~$ sudo intel_reg dump
                    GEN8_MASTER_IRQ (0x00044200): 0x80000000
                       GEN8_GT_ISR0 (0x00044300): 0x00000000
                       GEN8_GT_IMR0 (0x00044304): 0x00000000
                       GEN8_GT_IIR0 (0x00044308): 0x00000000
                       GEN8_GT_IER0 (0x0004430c): 0x00000000
                       GEN8_GT_ISR1 (0x00044310): 0x00000000
                       GEN8_GT_IMR1 (0x00044314): 0x00000000
                       GEN8_GT_IIR1 (0x00044318): 0x00000000
                       GEN8_GT_IER1 (0x0004431c): 0x00000000
                       GEN8_GT_ISR2 (0x00044320): 0x00000000
                       GEN8_GT_IMR2 (0x00044324): 0x00000000
                       GEN8_GT_IIR2 (0x00044328): 0x00000000
                       GEN8_GT_IER2 (0x0004432c): 0x00000000
                       GEN8_GT_ISR3 (0x00044330): 0x00000000
                       GEN8_GT_IMR3 (0x00044334): 0x00000000
                       GEN8_GT_IIR3 (0x00044338): 0x00000000
                       GEN8_GT_IER3 (0x0004433c): 0x00000000
                  GEN8_DE_PIPE_ISR0 (0x00044400): 0x00000000
                  GEN8_DE_PIPE_IMR0 (0x00044404): 0x6f8ff07e
                  GEN8_DE_PIPE_IIR0 (0x00044408): 0x00000000
                  GEN8_DE_PIPE_IER0 (0x0004440c): 0x90700f89
                  GEN8_DE_PIPE_ISR1 (0x00044410): 0x00000000
                  GEN8_DE_PIPE_IMR1 (0x00044414): 0x00000000
                  GEN8_DE_PIPE_IIR1 (0x00044418): 0x00000000
                  GEN8_DE_PIPE_IER1 (0x0004441c): 0x00000000
                  GEN8_DE_PIPE_ISR2 (0x00044420): 0x00000000
                  GEN8_DE_PIPE_IMR2 (0x00044424): 0x00000000
                  GEN8_DE_PIPE_IIR2 (0x00044428): 0x00000000
                  GEN8_DE_PIPE_IER2 (0x0004442c): 0x00000000
                   GEN8_DE_PORT_ISR (0x00044440): 0x00000000
                   GEN8_DE_PORT_IMR (0x00044444): 0xc1800000
                   GEN8_DE_PORT_IIR (0x00044448): 0x00000000
                   GEN8_DE_PORT_IER (0x0004444c): 0x00003f07
                   GEN8_DE_MISC_ISR (0x00044460): 0x00000000
                   GEN8_DE_MISC_IMR (0x00044464): 0xdb8480f8
                   GEN8_DE_MISC_IIR (0x00044468): 0x00000000
                   GEN8_DE_MISC_IER (0x0004446c): 0x00080000
                       GEN8_PCU_ISR (0x000444e0): 0x00000000
                       GEN8_PCU_IMR (0x000444e4): 0xffffffff
                       GEN8_PCU_IIR (0x000444e8): 0x00000000
                       GEN8_PCU_IER (0x000444ec): 0x00000000
                         RENDER_IMR (0x000020a8): 0x00000000
                            BSD_IMR (0x000120a8): 0x00000000
                            BLT_IMR (0x000220a8): 0x00000000
                       PRIVATE_PAT1 (0x000040e0): 0x00000000
                       PRIVATE_PAT2 (0x000040e4): 0x00000000
                      PWR_WELL_BIOS (0x00045400): 0x00000001
                    PWR_WELL_DRIVER (0x00045404): 0x00000003
                       PWR_WELL_KVM (0x00045408): 0x00000000
                     PWR_WELL_DEBUG (0x0004540c): 0x00000001
                        DPLL_STATUS (0x0006c060): 0x00000000
                       DPLL1_CFGCR1 (0x0006c040): 0x00000000
                       DPLL2_CFGCR1 (0x0006c048): 0x00000000
                       DPLL3_CFGCR1 (0x0006c050): 0x00000000
                       DPLL1_CFGCR2 (0x0006c044): 0x00000000
                       DPLL2_CFGCR2 (0x0006c04c): 0x00000000
                       DPLL3_CFGCR2 (0x0006c054): 0x418a01ca
                         DPLL_CTRL1 (0x0006c058): 0x012800e7
                         DPLL_CTRL2 (0x0006c05c): 0x00000300
                          CDCLK_CTL (0x00046000): 0x00380158
                         LCPLL1_CTL (0x00046010): 0xcc000000
                         LCPLL2_CTL (0x00046014): 0x00000000
                    TRANS_CLK_SEL_A (0x00046140): 0x10000000 (None)
                    TRANS_CLK_SEL_B (0x00046144): 0x00000000 (None)
                    TRANS_CLK_SEL_C (0x00046148): 0x00000000 (None)
                         WRPLL_CTL1 (0x00046040): 0x00000000
                         WRPLL_CTL2 (0x00046060): 0x00000000
                  PLANE_BUF_CFG_1_A (0x0007027c): 0x07df0000
                  PLANE_BUF_CFG_2_A (0x0007037c): 0x00000000
                  PLANE_BUF_CFG_3_A (0x0007047c): 0x00000000
             PLANE_NV12_BUF_CFG_1_A (0x00070278): 0x00000000
             PLANE_NV12_BUF_CFG_2_A (0x00070378): 0x00000000
             PLANE_NV12_BUF_CFG_3_A (0x00070478): 0x00000000
                      PLANE_CTL_1_A (0x00070180): 0x84000400 (enabled)
                      PLANE_CTL_2_A (0x00070280): 0x00000000
                      PLANE_CTL_3_A (0x00070380): 0x00000000
                   PLANE_KEYMAX_1_A (0x000701a0): 0xff000000
                   PLANE_KEYMAX_2_A (0x000702a0): 0x00000000
                   PLANE_KEYMAX_3_A (0x000703a0): 0x00000000
                   PLANE_KEYMSK_1_A (0x00070198): 0x00000000
                   PLANE_KEYMSK_2_A (0x00070298): 0x00000000
                   PLANE_KEYMSK_3_A (0x00070398): 0x00000000
                   PLANE_KEYVAL_1_A (0x00070194): 0x00000000
                   PLANE_KEYVAL_2_A (0x00070294): 0x00000000
                   PLANE_KEYVAL_3_A (0x00070394): 0x00000000
                   PLANE_OFFSET_1_A (0x000701a4): 0x00000000 (0, 0)
                   PLANE_OFFSET_2_A (0x000702a4): 0x00000000
                   PLANE_OFFSET_3_A (0x000703a4): 0x00000000
                 PLANE_AUX_DIST_1_A (0x000701c0): 0x00000000
                 PLANE_AUX_DIST_2_A (0x000702c0): 0x00000000
                 PLANE_AUX_DIST_3_A (0x000703c0): 0x00000000
               PLANE_AUX_OFFSET_1_A (0x000701c4): 0x00000000
               PLANE_AUX_OFFSET_2_A (0x000702c4): 0x00000000
               PLANE_AUX_OFFSET_3_A (0x000703c4): 0x00000000
                      PLANE_POS_1_A (0x0007018c): 0x00000000
                      PLANE_POS_2_A (0x0007028c): 0x00000000
                      PLANE_POS_3_A (0x0007038c): 0x00000000
                     PLANE_SIZE_1_A (0x00070190): 0x0437077f
                     PLANE_SIZE_2_A (0x00070290): 0x00000000
                     PLANE_SIZE_3_A (0x00070390): 0x00000000
                   PLANE_STRIDE_1_A (0x00070188): 0x0000000f (0)
                   PLANE_STRIDE_2_A (0x00070288): 0x00000000
                   PLANE_STRIDE_3_A (0x00070388): 0x00000000
                     PLANE_SURF_1_A (0x0007019c): 0x01900000
                     PLANE_SURF_2_A (0x0007029c): 0x00000000
                     PLANE_SURF_3_A (0x0007039c): 0x00000000
                 PLANE_SURFLIVE_1_A (0x000701ac): 0x02140000
                 PLANE_SURFLIVE_2_A (0x000702ac): 0x00000000
                 PLANE_SURFLIVE_3_A (0x000703ac): 0x00000000
                     PLANE_WM_1_A_0 (0x00070240): 0x80008012
                     PLANE_WM_1_A_1 (0x00070244): 0x80010041
                     PLANE_WM_1_A_2 (0x00070248): 0x80010041
                     PLANE_WM_1_A_3 (0x0007024c): 0x80010041
                     PLANE_WM_1_A_4 (0x00070250): 0x80010041
                     PLANE_WM_1_A_5 (0x00070254): 0x80014051
                     PLANE_WM_1_A_6 (0x00070258): 0x80020081
                     PLANE_WM_1_A_7 (0x0007025c): 0x80020081
                     PLANE_WM_2_A_0 (0x00070340): 0x00000000
                     PLANE_WM_2_A_1 (0x00070344): 0x00000000
                     PLANE_WM_2_A_2 (0x00070348): 0x00000000
                     PLANE_WM_2_A_3 (0x0007034c): 0x00000000
                     PLANE_WM_2_A_4 (0x00070350): 0x00000000
                     PLANE_WM_2_A_5 (0x00070354): 0x00000000
                     PLANE_WM_2_A_6 (0x00070358): 0x00000000
                     PLANE_WM_2_A_7 (0x0007035c): 0x00000000
                     PLANE_WM_3_A_0 (0x00070440): 0x00000000
                     PLANE_WM_3_A_1 (0x00070444): 0x00000000
                     PLANE_WM_3_A_2 (0x00070448): 0x00000000
                     PLANE_WM_3_A_3 (0x0007044c): 0x00000000
                     PLANE_WM_3_A_4 (0x00070450): 0x00000000
                     PLANE_WM_3_A_5 (0x00070454): 0x00000000
                     PLANE_WM_3_A_6 (0x00070458): 0x00000000
                     PLANE_WM_3_A_7 (0x0007045c): 0x00000000
                 PLANE_WM_TRANS_1_A (0x00070268): 0x80000020
                 PLANE_WM_TRANS_2_A (0x00070368): 0x00000000
                 PLANE_WM_TRANS_3_A (0x00070468): 0x00000000
                      CUR_BUF_CFG_A (0x0007017c): 0x07ff07e0
                         CUR_BASE_A (0x00070084): 0x00000000
                          CUR_CTL_A (0x00070080): 0x00000000
                      CUR_FBC_CTL_A (0x000700a0): 0x00000000
                          CUR_POS_A (0x00070088): 0x00000000
                     CUR_SURFLIVE_A (0x000700ac): 0x00000000
                         CUR_WM_A_0 (0x00070140): 0x00000000
                         CUR_WM_A_1 (0x00070144): 0x00000000
                         CUR_WM_A_2 (0x00070148): 0x00000000
                         CUR_WM_A_3 (0x0007014c): 0x00000000
                         CUR_WM_A_4 (0x00070150): 0x00000000
                         CUR_WM_A_5 (0x00070154): 0x00000000
                         CUR_WM_A_6 (0x00070158): 0x00000000
                         CUR_WM_A_7 (0x0007015c): 0x00000000
                     CUR_WM_TRANS_A (0x00070168): 0x00000000
                        PS_CTRL_1_A (0x00068180): 0x00000000
                        PS_CTRL_2_A (0x00068280): 0x00000000
                    PS_ECC_STAT_1_A (0x000681d0): 0x00000000
                    PS_ECC_STAT_2_A (0x000682d0): 0x00000000
                      PS_HPHASE_1_A (0x00068194): 0x00000000
                      PS_HPHASE_2_A (0x00068294): 0x00000000
                      PS_HSCALE_1_A (0x00068190): 0x00000841
                      PS_HSCALE_2_A (0x00068290): 0x0001e73f
                    PS_PWR_GATE_1_A (0x00068160): 0x00000000
                    PS_PWR_GATE_2_A (0x00068260): 0x00000000
                      PS_VPHASE_1_A (0x00068188): 0x00000000
                      PS_VPHASE_2_A (0x00068288): 0x00000000
                      PS_VSCALE_1_A (0x00068184): 0x00018041
                      PS_VSCALE_2_A (0x00068284): 0x00007bef
                     PS_WIN_POS_1_A (0x00068170): 0x00000000
                     PS_WIN_POS_2_A (0x00068270): 0x00000000
