Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  125 0                  0          0          com.apple.kpi.bsd (23.6.0) 4E5F61FE-F911-3282-B004-CAD436492800 <>
    2   22 0                  0          0          com.apple.kpi.dsep (23.6.0) 4E5F61FE-F911-3282-B004-CAD436492800 <>
    3  161 0                  0          0          com.apple.kpi.iokit (23.6.0) 4E5F61FE-F911-3282-B004-CAD436492800 <>
    4    0 0                  0          0          com.apple.kpi.kasan (23.6.0) 4E5F61FE-F911-3282-B004-CAD436492800 <>
    5    0 0                  0          0          com.apple.kpi.kcov (23.6.0) 4E5F61FE-F911-3282-B004-CAD436492800 <>
    6  166 0                  0          0          com.apple.kpi.libkern (23.6.0) 4E5F61FE-F911-3282-B004-CAD436492800 <>
    7  144 0                  0          0          com.apple.kpi.mach (23.6.0) 4E5F61FE-F911-3282-B004-CAD436492800 <>
    8  100 0                  0          0          com.apple.kpi.private (23.6.0) 4E5F61FE-F911-3282-B004-CAD436492800 <>
    9   98 0                  0          0          com.apple.kpi.unsupported (23.6.0) 4E5F61FE-F911-3282-B004-CAD436492800 <>
   10   13 0xffffff8002ff0000 0x7dff0    0x7dff0    com.apple.kec.corecrypto (14.0) 32E201B4-B19A-33DD-908F-850ED2F58E46 <9 8 7 6 3 1>
   11    0 0xffffff80018d7000 0x3000     0x3000     com.apple.kec.AppleEncryptedArchive (1) E0135E40-69B7-3246-96E7-E2CD764747DA <10 8 7 6>
   12    0 0xffffff8001e81000 0x4000     0x4000     com.apple.kec.Compression (1.0) 02125950-E87A-33AF-BAFC-BCFFC7E4BBC6 <10 8 7 6>
   13    2 0xffffff8002d40000 0xdfe0     0xdfe0     com.apple.kec.Libm (1) 80081411-91D3-37FF-8783-E2EFC08C17C7 <6>
   14    0 0xffffff8002df2000 0x3000     0x3000     com.apple.kec.XrtHostedXnu (1) 5F504448-C1EA-396A-9A1F-47506D2B8D0B <8 6>
   15    0 0xffffff800309d000 0x7000     0x7000     com.apple.kec.pthread (1) 3D13807A-0D9F-3344-99E5-FAC77B4A3424 <9 8 7 6 3 1>
   16    1 0xffffff80030b3000 0x2fff     0x2fff     com.apple.driver.watchdog (1) 2D007C64-EF78-3276-A014-C76E314452E2 <9 8 7 6 3 1>
   17   33 0xffffff80022fb000 0x2000     0x2000     com.apple.iokit.IOACPIFamily (1.4) 04DDFFBA-0499-3590-B6C5-C40851E28B4F <9 8 6 3>
   18   30 0xffffff800276b000 0x32000    0x32000    com.apple.iokit.IOPCIFamily (2.9) 79B622EF-0198-34BC-9D09-186D725B8071 <9 8 7 6 3>
   19   11 0xffffff8001b8a000 0x1bffe    0x1bffe    com.apple.driver.AppleSMC (3.1.9) B6D333BE-CC32-33DE-99BD-5824A3392BE0 <18 17 16 9 8 7 6 3 1>
   20    2 0xffffff80013ad000 0x77ff1    0x77ff1    com.apple.driver.AppleACPIPlatform (6.1) D7040872-2CF9-3C16-9294-996C1765929F <19 18 17 9 8 7 6 3 1>
   21    6 0xffffff8002896000 0x1fff     0x1fff     com.apple.driver.IOSlaveProcessor (1) E9F63212-88CA-377C-86C3-C9D5588C039D <8 7 6 3>
   22    4 0xffffff8001b6e000 0xeffc     0xeffc     com.apple.driver.AppleSEPManager (1.0.1) 4CFBA109-B832-396A-B2E9-90F62C81DEAF <21 18 10 9 8 7 6 3 1>
   23    6 0xffffff8001e86000 0x9ff7     0x9ff7     com.apple.iokit.CoreAnalyticsFamily (1) A8CE3071-7707-3B73-B8CD-CBB273F99233 <9 8 7 6 3 1>
